Number,Trench,Level,Layer,General Unit,gou, Original Type,Gtype,Type,xold,yold,x,y,z,Altitude,Orientation_old,Orientation,Dip,Degree,max,Length,Width,Thickness,Weight,lwratio,Lgroup,Wgroup,New category,Technological category,Rock type,Row material,Weathering,Rounddegree,Roundness
TOK1275,TOK,16,,,,S,S,S,103.73,104.03,808.1243277,629.7106263,0.938099,938.099,336,156,,0,27,27,24,12,10,1.125,m,m,DP,BPF,Chert,C,1,R1,1
TOK1276,TOK,shai,,,,S,S,S,103.73,104.03,808.1243277,629.7106263,0.936099,936.099,,,,,,,,,,,,,DP,Chunk,,,,,
TOK1277,TOK,16,,,,S,S,S,103.46,104.21,808.1242365,629.7109378,0.938094,938.094,52,52,,0,21,21,13,9,3,1.615384615,m,s,DP,Chunk,Chert,C,2,R1,1
TOK1279,TOK,16,,,,S,S,S,103.35,104.16,808.1241201,629.7109702,0.938092,938.092,80,80,,0,,,,,,,,,,,,,,,
TOK1280,TOK,16,,,,S,S,S,103.17,104.25,808.1240401,629.7111548,0.938088,938.088,112,112,,0,30,21,30,7,3,1.428571429,m,s,DP,BP,Chert,C,0,R0,0
TOK1282,TOK,16,,,,B,B,B,103.79,102.91,808.1236537,629.7097298,0.93817,938.17,139,139,,0,,,,,,,,,B,,,,,,
TOK1283,TOK,16,,,,S,S,S,103.17,102.77,808.1230888,629.7100211,0.938109,938.109,135,135,,0,,,,,,,,,,,,,,,
TOK1284,TOK,16,,,,S,S,U,103.06,101.57,808.1222332,629.7091727,0.938184,938.184,26,26,215,26,52,52,34,26,53,1.529411765,l,l,UN,UN,Silicious dolomite,SD,,,
TOK1285,TOK,16,,,,S,S,S,103.7,100.42,808.1219842,629.7078804,0.938148,938.148,122,122,,0,27,20,27,12,5,1.35,m,m,DP,BP,Chert,C,0,R0,0
TOK1286,TOK,16,,,,S,S,S,103.79,100.12,808.1218603,629.7075927,0.938188,938.188,2,2,351,43,38,38,28,11,10,1.357142857,m,m,DP,BPF,Chert,C,1,R1,1
TOK1287,TOK,16,,,,S,S,S,102.3,104.97,808.1238365,629.7122656,0.938072,938.072,80,80,,0,36,36,30,18,19,1.2,m,m,DP,Chunk,Chert,C,0,R0,0
TOK1288,TOK,16,,,,B,B,B,102.61,104.99,808.1240868,629.7120816,0.938067,938.067,105,105,,0,,,,,,,,,B,,,,,,
TOK1289,TOK,16,,,,S,S,S,102.21,104.59,808.1235233,629.7120324,0.93808,938.08,90,90,,0,44,44,37,14,14,1.189189189,m,m,DP,BP,Brecciated chert,BC,1,R1,1
TOK1291,TOK,16,,,,S,S,U,102.61,104.05,808.1234826,629.7113616,0.938114,938.114,120,120,,0,61,61,42,36,87,1.452380952,l,l,UN,UN,Chert,C,,,
TOK1292,TOK,16,,,,B,B,B,102.07,103.88,808.1229597,629.7115785,0.938117,938.117,5,5,,0,,,,,,,,,B,,,,,,
TOK1293,TOK,16,,,,B,B,B,102.63,103.89,808.1233951,629.7112262,0.938129,938.129,113,113,113,25,,,,,,,,,B,,,,,,
TOK1294,TOK,16,,,,B,B,B,102.76,103.84,808.1234625,629.7111043,0.938155,938.155,23,23,,0,,,,,,,,,B,,,,,,
TOK1295,TOK,16,,,,B,B,B,102.5,103.6,808.1231091,629.7110876,0.938103,938.103,355,175,,0,,,,,,,,,B,,,,,,
TOK1297,TOK,16,,,,B,B,B,102.34,103.18,808.1227165,629.7108687,0.93812,938.12,355,175,170,50,17,17,14,7,2,1.214285714,s,s,B,,,,,,
TOK1298,TOK,16,,,,B,B,B,102.26,103.15,808.122636,629.7108972,0.938112,938.112,339,159,,0,,,,,,,,,B,,,,,,
TOK1300,TOK,16,,,,B,B,B,102.02,103.05,808.1223879,629.7109748,0.938195,938.195,4,4,351,36,,,,,,,,,B,,,,,,
TOK1301,TOK,16,,,,S,S,S,102.13,102.59,808.1221764,629.7105518,0.938134,938.134,336,156,,0,35,35,28,19,19,1.25,m,m,FP,Core,Chert,C,0,R0,0
TOK1303,TOK,16,,,,S,S,S,102.44,100.74,808.1212247,629.7089354,0.938123,938.123,102,102,,0,41,32,41,16,17,1.28125,m,m,FP,Tool,Chert,C,1,R0,0
TOK1304,TOK,16,,,,B,B,B,101.96,104.98,808.1235825,629.7124918,0.938078,938.078,51,51,,0,,,,,,,,,B,,,,,,
TOK1305,TOK,16,,,,S,S,S,101.91,104.98,808.1235442,629.7125239,0.938093,938.093,45,45,,0,41,41,41,33,50,1,m,m,DP,Chunk,Chert,C,0,R0,0
TOK1306,TOK,16,,,,S,S,S,101.4,104.92,808.123115,629.7128058,0.938108,938.108,113,113,,0,33,33,22,11,9,1.5,m,m,DP,Chunk,Chert,C,1,R1,1
