Number,Trench,Level,Layer,General Unit,gou, Original Type,Gtype,Type,xold,yold,x,y,z,Altitude,Orientation_old,Orientation,Dip,Degree,max,Length,Width,Thickness,Weight,lwratio,Lgroup,Wgroup,New category,Technological category,Rock type,Row material,Weathering,Rounddegree,Roundness
s-1,T1,11,,,,S,S,S,100.95,98.7,808.0619244,629.7375339,0.93503,935.03,,,,,78,78,76,66,491,1.026315789,l,l,FP,Core,Chert,C,1,R1,1
s-2,T1,11,,,,S,S,S,100.95,98.7,808.0619244,629.7375339,0.9349,934.9,,,,,26,26,24,17,11,1.083333333,m,m,DP,Chunk,Silicious dolomite,SD,1,R1,1
s-3,T1,11,,,,S,S,S,100.78,98.32,808.0617094,629.7371775,0.934907,934.907,,,,,29,29,16,12,4,1.8125,m,m,DP,BPF,Chert,C,0,R0,0
s-4,T1,11,,,,S,S,S,100.95,98.15,808.0618574,629.7369881,0.934907,934.907,,,,,27,27,17,7,5,1.588235294,m,m,DP,BPF,Chert,C,0,R0,0
s-5,T1,11,,,,S,S,S,100.46,99.16,808.0614942,629.7380502,0.934868,934.868,,,,,45,45,19,19,18,2.368421053,m,m,DP,Chunk,Silicious dolomite,SD,2,R0,0
s-6,T1,11,,,,S,S,S,100.94,99.33,808.0619913,629.7381604,0.93489,934.89,,,,,24,24,13,7,2,1.846153846,m,s,DP,BP,Chert,C,0,R0,0
s-7,T1,11,,,Y,S,S,S,99.16,98.83,808.0601637,629.7378812,0.934905,934.905,,,,,,,,,,,,,,,,,,,
s-8,T1,11,,,,S,S,S,99.33,98.65,808.0603105,629.7376818,0.934899,934.899,,,,,10,10,7,2,1.23333,1.428571429,s,s,DP,BPF,Chert,C,0,R0,0
s-9,T1,11,,,,S,S,S,99.61,99.65,808.0607103,629.7386402,0.934866,934.866,,,,,66,66,61,58,282,1.081967213,l,l,FP,Core,Chert,C,2,R2,2
s-10,T1,11,,,,S,S,S,99.54,99.9,808.0606713,629.7388968,0.934887,934.887,,,,,,,,,,,,,,,,,,,
s-11,T1,11,,,,S,S,S,99.44,99.91,808.0605732,629.7389189,0.934897,934.897,,,,,45,45,41,22,42,1.097560976,m,m,DP,Chunk,Chert,C,0,R0,0
s-15,T1,11,,,,S,S,S,99.4,97.94,808.0602934,629.7369686,0.934932,934.932,,,,,18,18,9,2,0.2333,2,s,s,DP,BPF,Chert,C,0,R0,0
s-16,T1,11,,,Y,S,S,S,99.7,97.92,808.0605887,629.7369122,0.934952,934.952,,,,,42,42,40,24,36,1.05,m,m,DP,Chunk,Brecciated chert,BC,0,R0,0
s-17,T1,11,,,,S,S,S,101.72,98.95,808.0627191,629.7376882,0.934925,934.925,,,,,18,18,14,10,3,1.285714286,s,s,DP,Chunk,Chert,C,0,R0,0
s-18,T1,11,,,,S,S,S,99.34,100.96,808.060602,629.7399733,0.934853,934.853,,,,,31,31,21,18,13,1.476190476,m,m,DP,Chunk,Chert,C,0,R0,0
s-19,T1,11,,,,S,S,S,99.26,100.72,808.0604933,629.7397448,0.934828,934.828,15,15,,,54,54,30,11,13,1.8,l,m,DP,BP,Chert,C,0,R0,0
s-20,T1,11,,,,S,S,S,99.36,100.55,808.0605718,629.7395639,0.934819,934.819,,,,,24,24,18,15,6,1.333333333,m,m,DP,Chunk,Chert,C,0,R0,0
s-21,T1,11,,,,S,S,S,99.28,100.26,808.0604571,629.7392858,0.934835,934.835,85,85,85,23,46,46,27,9,10,1.703703704,m,m,DP,BP,Silicious dolomite,SD,0,R0,0
s-22,T1,11,,,,S,S,S,101.08,99.64,808.062168,629.738451,0.934838,934.838,,,,,82,82,82,67,492,1,l,l,FP,Core,Brecciated chert,BC,0,R0,0
s-23,T1,11,,,,S,S,S,101.33,99.66,808.0624186,629.7384404,0.934866,934.866,,,,,26,26,17,12,8,1.529411765,m,m,DP,Chunk,Chert,C,0,R0,0
s-26,T1,11,,,,S,S,S,101.52,100.67,808.0627303,629.7394197,0.934836,934.836,133,133,,,,,,,,,,,,,,,,,
s-27,T1,11,,,,S,S,S,101.88,100.96,808.0631229,629.7396636,0.934919,934.919,,,,,33,33,28,16,14,1.178571429,m,m,DP,BPF,Chert,C,0,R0,0
s-28,T1,11,,,,S,S,S,101.7,100.14,808.0628443,629.7388717,0.934838,934.838,,,,,26,26,17,8,3,1.529411765,m,s,DP,BPF,Silicious dolomite,SD,0,R0,0
s-32,T1,11,,,,S,S,S,100.17,98.39,808.0611125,629.7373214,0.934844,934.844,90,90,,,48,48,29,11,12,1.655172414,m,m,DP,BPF,Chert,C,0,R0,0
s-33,T1,11,,,,S,S,S,100.15,98.27,808.061078,629.7372047,0.934885,934.885,,,,,15,15,11,5,0.6,1.363636364,s,s,DP,BP,Chert,C,0,R0,0
s-34,T1,11,,,,S,S,S,101.07,99.55,808.0621471,629.7383629,0.934861,934.861,,,,,28,28,19,12,4,1.473684211,m,m,DP,BPF,Chert,C,0,R0,0
s-35,T1,11,,,,S,S,S,98.3,99.63,808.0594076,629.73878,0.934838,934.838,,,,,,,,,,,,,,,,,,,
s-36,T1,11,,,,S,S,S,98.89,98.97,808.0599128,629.738053,0.934856,934.856,,,,,42,33,42,8,8,1.272727273,m,m,DP,BP,Silicious dolomite,SD,0,R0,0
s-37,T1,11,,,,S,S,S,99.36,99.42,808.0604341,629.7384424,0.934824,934.824,,,,,34,28,34,8,5,1.214285714,m,m,DP,BP,Silicious dolomite,SD,0,R0,0
s-39,T1,11,,,,S,S,S,99,98,808.0599037,629.7370769,0.934849,934.849,,,,,27,27,18,8,4,1.5,m,m,DP,BP,Silicious dolomite,SD,0,R0,0
FL100,T1,11,,,,S,S,S,98.83,100.02,808.0599812,629.7391025,0.934863,934.863,,,,,29,29,26,15,12,1.115384615,m,m,DP,BP,Chert,C,0,R0,0
FL102,T1,11,,,,S,S,S,98.78,100.19,808.0599523,629.7392773,0.934839,934.839,170,170,,,102,102,100,50,731,1.02,l,l,FP,Core,Chert,C,1,R0,0
FL104,T1,11,,,,S,S,S,98.2,100.28,808.0593876,629.7394373,0.934655,934.655,,,,,,,,,,,,,,,,,,,
FL105,T1,11,,,,S,S,S,98.97,100.57,808.0601872,629.7396313,0.934853,934.853,30,30,,,31,31,25,12,7,1.24,m,m,DP,BPF,Silicious dolomite,SD,0,R0,0
FL106,T1,11,,,,S,S,S,98.72,100.69,808.0599537,629.7397809,0.93488,934.88,,,,,14,14,10,2,0.2333,1.4,s,s,DP,BPF,Chert,C,0,R0,0
FL108,T1,11,,,,,,,98.04,100.56,808.059263,629.7397347,0.934917,934.917,90,90,,,,,,,,,,,,,,,,,
FL109,T1,11,,,,S,S,S,98.11,100.58,808.0593349,629.739746,0.934873,934.873,,,,,,,,,,,,,,,,,,,
FL110,T1,11,,,,S,S,S,98.81,100.68,808.0600418,629.73976,0.934843,934.843,,,,,34,25,34,8,6,1.36,m,m,DP,BP,Chert,C,0,R0,0
FL111,T1,11,,,,S,S,S,98.88,100.86,808.0601332,629.7399301,0.934887,934.887,,,,,,,,,,,,,,,,,,,
FL112,T1,11,,,,S,S,S,98.98,100.92,808.0602398,629.7399774,0.934874,934.874,,,,,25,22,25,6,3,1.136363636,m,s,DP,BP,Chert,C,0,R0,0
FL114,T1,11,,,,S,S,S,98.29,100.66,808.0595233,629.7398035,0.934864,934.864,,,,,46,24,46,11,9,1.916666667,m,m,DP,BP,Chert,C,0,R0,0
FL115,T1,11,,,,S,S,S,98.2,100.65,808.0594327,629.7398045,0.934865,934.865,,,,,32,32,20,17,10,1.6,m,m,DP,Chunk,Brecciated chert,BC,0,R0,0
FL117,T1,11,,,,S,S,S,98.37,100.78,808.0596173,629.7399128,0.934847,934.847,,,,,18,18,10,4,1.23333,1.8,s,s,DP,BPF,Chert,C,0,R0,0
FL118,T1,11,,,,S,S,S,98.36,100.77,808.0596062,629.7399041,0.934869,934.869,,,,,28,28,25,8,7,1.12,m,m,DP,BPF,Chert,C,0,R0,0
FL132,T1,12,,,,S,S,S,100.5,101,808.0617582,629.7398716,0.934813,934.813,,,,,41,41,41,11,21,1,m,m,DP,BP,Silicious dolomite,SD,0,R0,0
FL133,T1,12,,,,S,S,S,101.05,99.58,808.0621309,629.7383952,0.934766,934.766,,,,,13,13,8,5,1.23333,1.625,s,s,DP,BPF,Silicious dolomite,SD,0,R0,0
FL142,T1,12,,,,S,S,S,101.78,98.02,808.0626653,629.7367579,0.934782,934.782,,,,,,,,,,,,,,,,,,,
FL150,T1,11,,,,S,S,S,98.31,100.98,808.0595821,629.7401187,0.934837,934.837,,,,,19,19,15,7,2,1.266666667,s,s,DP,BPF,Silicious dolomite,SD,0,R0,0
FL151,T1,11,,,,S,S,S,98.22,100.9,808.0594831,629.7400502,0.934844,934.844,,,,,24,24,18,8,3,1.333333333,m,s,DP,BPF,Silicious dolomite,SD,0,R0,0
FL152,T1,11,,,,S,S,S,98.22,100.74,808.0594636,629.7398914,0.93484,934.84,,,,,46,46,22,20,18,2.090909091,m,m,DP,Chunk,Chert,C,0,R0,0
FL172,T1,12,,,,S,S,S,99.52,99.48,808.0606002,629.7384824,0.934808,934.808,,,,,48,48,45,12,19,1.066666667,m,m,DP,BP,Chert,C,1,R0,0
FL173,T1,12,,,,S,S,S,99.52,99.53,808.0606063,629.738532,0.934785,934.785,,,,,,,,,,,,,,,,,,,
FL174,T1,12,,,,S,S,S,99.61,99.54,808.0606969,629.738531,0.934756,934.756,,,,,19,19,17,10,3,1.117647059,s,s,DP,BPF,Silicious dolomite,SD,0,R0,0
FL175,T1,12,,,,S,S,S,99.19,99.68,808.0602971,629.7387211,0.934802,934.802,,,,,12,12,7,5,0.2333,1.714285714,s,s,DP,BPF,Chert,C,0,R0,0
FL176,T1,12,,,,S,S,S,99.21,100.7,808.0604413,629.7397311,0.934802,934.802,,,,,15,15,13,5,0.3,1.153846154,s,s,DP,BPF,Chert,C,0,R0,0
FL177,T1,12,,,,S,S,S,99.14,98.56,808.0601109,629.7376156,0.934824,934.824,,,,,34,34,25,14,13,1.36,m,m,DP,Chunk,Brecciated chert,BC,0,R0,0
FL178,T1,12,,,Y,S,S,S,99.29,98.74,808.0602817,629.737776,0.934775,934.775,,,,,,,,,,,,,,,,,,,
FL179,T1,12,,,,S,S,S,99.12,98.66,808.0601033,629.7377173,0.934814,934.814,,,,,,,,,,,,,,,,,,,
FL180,T1,12,,,,S,S,S,98.9,98.62,808.05988,629.7377044,0.934815,934.815,,,,,,,,,,,,,,,,,,,
FL192,T1,12,,,,S,S,S,99.66,99.8,808.0607782,629.7387829,0.934757,934.757,,,,,18,18,14,9,2,1.285714286,s,s,DP,BPF,Silicious dolomite,SD,0,R0,0
FL193,T1,12,,,,S,S,S,99.57,99.88,808.0606986,629.7388733,0.934757,934.757,,,,,34,30,34,10,11,1.133333333,m,m,DP,BP,Silicious dolomite,SD,0,R0,0
FL194,T1,12,,,,S,S,S,98.27,98.83,808.0592804,629.7379897,0.934825,934.825,,,,,32,32,19,13,8,1.684210526,m,m,DP,Chunk,Chert,C,0,R0,0
FL196,T1,12,,,,S,S,S,98.46,98.8,808.0594653,629.7379367,0.934819,934.819,155,155,,,48,48,41,15,31,1.170731707,m,m,DP,Chunk,Chert,C,1,R1,1
FL204,T1,12,,,,S,S,S,99.48,99.64,808.06058,629.7386461,0.934757,934.757,168,168,168,30,52,42,52,12,21,1.238095238,l,m,DP,BP,Chert,C,0,R0,0
FL205,T1,12,,,,S,S,S,99.45,99.61,808.0605466,629.73862,0.934745,934.745,,,,,18,15,18,6,1,1.2,s,s,DP,BP,Chert,C,0,R0,0
FL207,T1,12,,,,S,S,S,99.43,99.62,808.060528,629.7386323,0.934757,934.757,,,,,24,24,14,9,2,1.714285714,m,s,DP,BP,Chert,C,0,R0,0
FL211,T1,12,,,Y,S,S,S,99.12,99.75,808.0602361,629.7387991,0.934757,934.757,,,,,,,,,,,,,,,,,,,
FL213,T1,12,,,,S,S,S,101.45,100.54,808.062645,629.7392992,0.934784,934.784,18,18,,,,,,,,,,,,,,,,,
FL218,T1,12,,,,S,S,S,98.8,99.15,808.0598454,629.7382427,0.93481,934.81,,,,,,,,,,,,,,,,,,,
FL221,T1,13,,,,S,S,S,100.95,96.61,808.0616696,629.7354596,0.934715,934.715,,,,,,,,,,,,,,,,,,,
FL222,T1,13,,,,S,S,S,100.31,96.82,808.06106,629.7357461,0.934754,934.754,110,110,,,67,67,31,18,35,2.161290323,l,m,DP,BPF,Chert,C,0,R0,0
FL223,T1,13,,,,S,S,S,101.05,96.55,808.0617616,629.7353879,0.934729,934.729,,,,,13,11,13,3,0.4,1.181818182,s,s,DP,BP,Chert,C,0,R0,0
FL224,T1,13,,,,S,S,S,100.73,96.63,808.0614537,629.7355063,0.934722,934.722,,,,,,,,,,,,,,,,,,,
FL229,T1,13,,,,S,S,S,101.63,97.51,808.0624542,629.73627,0.934717,934.717,,,,,,,,,,,,,,,,,,,
FL234,T1,13,,,,S,S,S,100.96,97.23,808.0617551,629.7360738,0.934756,934.756,,,,,25,25,22,3,2,1.136363636,m,s,DP,BP,Chert,C,1,R0,0
FL235,T1,13,,,,S,S,S,100.8,97.41,808.0616183,629.7362719,0.934697,934.697,,,,,33,30,33,8,9,1.1,m,m,DP,BP,Chert,C,0,R0,0
FL240,T1,13,,,,S,S,S,99.53,97.82,808.0604078,629.7368336,0.934683,934.683,76,76,,,74,74,56,43,189,1.321428571,l,l,DP,Chunk,Silicious dolomite,SD,1,R1,1
FL245,T1,13,,,,S,S,S,99.15,97.62,808.0600063,629.7366815,0.934669,934.669,,,,,71,71,65,34,216,1.092307692,l,l,FP,Core,Silicious dolomite,SD,2,R3,3
FL246,T1,13,,,,S,S,S,98.22,100.65,808.0594526,629.7398021,0.934815,934.815,,,,,53,53,38,12,21,1.394736842,l,m,DP,BP,Brecciated chert,BC,1,R1,1
FL247,T1,13,,,,S,S,S,98.26,100.58,808.0594838,629.7397278,0.934811,934.811,,,,,38,26,38,14,7,1.461538462,m,m,DP,BP,Silicious dolomite,SD,0,R0,0
FL248,T1,13,,,,S,S,S,98.25,100.6,808.0594763,629.7397488,0.934804,934.804,,,,,24,24,22,6,3.4,1.090909091,m,m,DP,BP,Chert,C,0,R0,0
FL249,T1,13,,,,S,S,S,98.27,100.68,808.0595059,629.7398258,0.934794,934.794,,,,,28,28,27,11,7.1,1.037037037,m,m,DP,BP,Chert,C,0,R0,0
FL250,T1,13,,,,S,S,S,98.24,100.7,808.0594785,629.7398493,0.934801,934.801,,,,,44,44,29,20,14,1.517241379,m,m,DP,BP,Brecciated chert,BC,1,R1,1
FL256,T1,13,,,,S,S,S,98.48,100.82,808.0597314,629.7399391,0.93474,934.74,,,,,,,,,,,,,,,,,,,
FL257,T1,13,,,,S,S,S,98.56,100.8,808.0598083,629.7399095,0.934791,934.791,,,,,17,17,9,3,0.3,1.888888889,s,s,DP,BPF,Chert,C,0,R0,0
FL260,T1,13,,,,S,S,S,98.27,100.71,808.0595095,629.7398556,0.934795,934.795,,,,,24,24,17,7,2,1.411764706,m,s,DP,BPF,Chert,C,0,R0,0
FL262,T1,13,,,,S,S,S,98.82,100.82,808.0600688,629.7398977,0.934794,934.794,,,,,26,26,18,6,4,1.444444444,m,m,DP,BP,Brecciated chert,BC,0,R0,0
FL270,T1,13,,,,S ,S,S,98.14,100.21,808.0593195,629.7393752,0.934807,934.807,,,,,24,24,17,5,2,1.411764706,m,s,DP,BPF,Chert,C,0,R0,0
FL277,T1,13,,,,S,S,S,98.81,99.44,808.0598907,629.7385293,0.934831,934.831,98,98,,,44,44,27,11,12,1.62962963,m,m,DP,BP,Silicious dolomite,SD,0,R0,0
FL280,T1,13,,,,S ,S,S,98.37,99.01,808.0594015,629.7381561,0.934805,934.805,20,20,,,26,26,18,9,4,1.444444444,m,m,DP,BPF,Chert,C,0,R0,0
FL285,T1,13,,,,S,S,S,99,100.97,808.0602657,629.7400246,0.934727,934.727,,,,,,,,,,,,,,,,,,,
FL295,T1,13,,,,S ,S,S,99.35,100.23,808.0605229,629.7392475,0.934704,934.704,,,,,30,30,23,19,9,1.304347826,m,m,DP,Chunk,Silicious dolomite,SD,2,R0,0
FL298,T1,13,,,,S,S,S,99.67,99.59,808.0607625,629.7385733,0.934724,934.724,,,,,,,,,,,,,,,,,,,
FL306,T1,13,,,,S,S,S,98.72,98.54,808.0596916,629.737647,0.934694,934.694,,,,,27,27,13,13,5,2.076923077,m,m,DP,Chunk,Quartz,O,1,R1,1
FL309,T1,13,,,Y,S(pebble),S,U,99.57,97.47,808.0604048,629.7364814,0.934671,934.671,,,,,,,,,,,,,UN1,UN1,,,,,
FL313,T1,13,,,,S,S,S,100.24,100.82,808.0614782,629.7397246,0.934745,934.745,,,,,57,57,33,18,35,1.727272727,l,m,DP,BP,Chert,C,1,R0,0
FL319,T1,13,,,,S,S,S,100.7,100.66,808.0619152,629.7395097,0.934775,934.775,,,,,22,22,19,4,2,1.157894737,m,s,DP,BPF,Chert,C,1,R1,1
FL321,T1,13,,,,S,S,S,100.07,100.32,808.0612485,629.7392491,0.934724,934.724,,,,,25,16,25,8,2.7,1.5625,m,s,DP,BP,Chert,C,0,R0,0
FL331,T1,13,,,,S,S,S,100.09,99.44,808.0611611,629.7383732,0.934747,934.747,,,,,14,14,10,4,0.2333,1.4,s,s,DP,BPF,Chert,C,0,R0,0
FL332,T1,13,,,,S,S,S,100.07,99.4,808.0611363,629.738336,0.934724,934.724,,,,,19,19,13,7,2,1.461538462,s,s,DP,BPF,Quartzite,O,1,R1,1
FL337,T1,13,,,,S(pebble),S,U,100.1,97.37,808.0609187,629.7363175,0.934674,934.674,,,,,,,,,,,,,UN1,UN1,,,,,
FL346,T1,13,,,,S(pebble),S,U,101.35,98.09,808.062247,629.7368798,0.934709,934.709,,,,,,,,,,,,,UN1,UN1,,,,,
FL349,T1,13,,,,S,S,S,101.44,100.13,808.062585,629.7388935,0.934693,934.693,,,,,,,,,,,,,,,,,,,
FL372,T1,13,,,,S,S,S,101.55,99.21,808.0625821,629.737967,0.934717,934.717,,,,,28,28,21,9,6,1.333333333,m,m,DP,BPF,Silicious dolomite,SD,1,R1,1
FL374,T1,13,,,,S,S,S,98.51,100.26,808.0596929,629.7393797,0.934744,934.744,,,,,32,32,25,13,13,1.28,m,m,DP,Chunk,Brecciated chert,BC,0,R0,0
FL382,T1,13,,,,S(pebble),S,U,100.93,97.29,808.0617327,629.736137,0.934698,934.698,,,,,,,,,,,,,UN1,UN1,,,,,
FL385,T1,13,,,,S,S,S,100.99,96.92,808.0617471,629.7357624,0.934732,934.732,,,,,,,,,,,,,,,,,,,
FL386,T1,13,,,,S,S,S,98.26,100.68,808.0594959,629.739827,0.934659,934.659,,,,,14,14,8,4,0.1,1.75,s,s,DP,BPF,Chert,C,0,R0,0
FL405,T1,13,,,,S(pebble),S,U,98.44,99.68,808.0595527,629.7388126,0.934646,934.646,,,,,,,,,,,,,UN1,UN1,,,,,
FL406,T1,13,,,,S,S,S,98.1,99.67,808.059214,629.7388441,0.93469,934.69,,,,,30,30,26,11,8,1.153846154,m,m,DP,BPF,Brecciated chert,BC,0,R0,0
FL409,T1,13,,,,S,S,S,98.66,99.36,808.059732,629.7384681,0.934721,934.721,,,,,,,,,,,,,,,,,,,
FL411,T1,13,,,,S,S,S,98.5,98.9,808.0595172,629.7380311,0.934747,934.747,,,,,,,,,,,,,,,,,,,
FL413,T1,13,,,,S,S,S,98.49,98.58,808.0594682,629.7377147,0.934715,934.715,,,,,27,22,27,8,3,1.227272727,m,s,DP,BP,Dolomite,SD,1,R0,0
FL425,T1,13,,,,S,S,S,101.7,98.52,808.0626468,629.7372639,0.934771,934.771,,,,,,,,,,,,,,,,,,,
FL426,T1,13,,,,S,S,S,101.61,98.6,808.0625673,629.7373542,0.934731,934.731,,,,,50,50,37,17,46,1.351351351,m,m,DP,Chunk,Silicious dolomite,SD,1,R1,1
FL428,T1,13,,,,S,S,S,101.52,98.62,808.0624804,629.7373851,0.934704,934.704,,,,,,,,,,,,,,,,,,,
FL431,T1,13,,,,S,S,S,101.52,98.95,808.0625206,629.7377126,0.934766,934.766,,,,,,,,,,,,,,,,,,,
FL447,T1,14,,,,S,S,S,100.16,98.49,808.0611147,629.7374218,0.934658,934.658,,,,,,,,,,,,,,,,,,,
FL453,T1,14,,,,S,S,S,100.46,96.7,808.0611943,629.7356087,0.934616,934.616,,,,,,,,,,,,,,,,,,,
FL461,T1,14,,,,S,S,S,100.32,98.93,808.0613272,629.737839,0.934601,934.601,,,,,36,36,36,11,17,1,m,m,DP,BPF,Silicious dolomite,SD,1,R1,1
FL464,T1,14,,,,S,S,S,101.75,99.19,808.0627781,629.7379228,0.934616,934.616,,,,,,,,,,,,,,,,,,,
FL471,T1,14,,,,S,S,S,101.66,99.76,808.0627583,629.7384994,0.934655,934.655,,,,,,,,,,,,,,,,,,,
FL477,T1,14,,,,S(pebble),S,U,101.33,100.01,808.0624612,629.7387878,0.934661,934.661,,,,,,,,,,,,,UN1,UN1,,,,,
FL493,T1,14,,,,S,S,S,100.58,100.18,808.0617376,629.7390479,0.934609,934.609,215,35,215,43,66,66,64,42,297,1.03125,l,l,DP,Chunk,Silicious dolomite,SD,1,R0,0
FL499,T1,14,,,,S,S,S,100.12,100,808.0612591,629.7389254,0.934649,934.649,,,,,30,26,30,13,11,1.153846154,m,m,FP,Tool,Chert,C,1,R1,1
FL503,T1,14,,,,S,S,S,99.57,100,808.0607132,629.7389924,0.934635,934.635,0,0.5,180,27,,,,,,,,,,,,,,,
FL504,T1,14,,,,S,S,S,99.7,100,808.0608423,629.7389766,0.934683,934.683,,,,,,,,,,,,,,,,,,,
FL517,T1,14,,,,S,S,S,100.95,99.94,808.0620756,629.7387646,0.934677,934.677,195,15,195,30,42,42,39,17,27,1.076923077,m,m,DP,BP,Silicious dolomite,SD,1,R0,0
FL519,T1,14,,,,S,S,S,100.07,99.82,808.0611875,629.7387528,0.934595,934.595,,,,,,,,,,,,,,,,,,,
FL522,T1,14,,,,S,S,S,99.67,98.53,808.0606333,629.7375213,0.934636,934.636,,,,,41,41,34,16,16,1.205882353,m,m,DP,BP,Brecciated chert,BC,0,R0,0
FL529,T1,14,,,,S,S,S,101.49,98.2,808.0623994,629.7369719,0.934664,934.664,70,70,70,5,57,57,40,34,106,1.425,l,l,FP,Core,Silicious dolomite,SD,1,R1,1
FL531,T1,14,,,,S,S,S,98.33,99.48,808.0594191,629.7386275,0.934581,934.581,,,,,,,,,,,,,,,,,,,
FL533,T1,14,,,,S,S,S,101.45,98.69,808.0624194,629.7374631,0.934616,934.616,,,,,,,,,,,,,,,,,,,
FL535,T1,14,,,,S,S,S,101.56,98.91,808.0625554,629.737668,0.934708,934.708,,,,,20,20,14,5,1,1.428571429,s,s,DP,BPF,Chert,C,0,R0,0
FL544,T1,14,,,,S,S,S,98.17,99.6,808.059275,629.7387661,0.934579,934.579,305,125,,,31,31,16,12,6,1.9375,m,m,DP,Chunk,Chert,C,0,R0,0
FL547,T1,14,,,,S,S,S,98.17,98.33,808.0591202,629.7375056,0.934617,934.617,,,,,45,45,37,26,48,1.216216216,m,m,DP,Chunk,Chert,C,0,R0,0
FL548,T1,15,,,,S,S,S,100.4,98.2,808.0613176,629.7371047,0.934617,934.617,,,,,25,25,17,12,5,1.470588235,m,m,DP,Chunk,Quartz,O,0,R0,0
FL550,T1,11,,,,S,S,S,99,101,808.0602694,629.7400544,0.934658,934.658,,,,,24,22,24,10,3,1.090909091,m,s,DP,BPF,Chert,C,0,R0,0
FL551,T1,11,,,,S,S,S,99,101,808.0602694,629.7400544,0.934552,934.552,,,,,27,27,23,9,4,1.173913043,m,m,DP,BPF,Silicious dolomite,SD,0,R0,0
FL552,T1,11,,,,S,S,S,99,101,808.0602694,629.7400544,0.934459,934.459,,,,,25,25,19,6,2,1.315789474,m,s,DP,BP,Chert,C,0,R0,0
FL557,T1,15,,,,S,S,S,100.81,100.91,808.0620549,629.7397444,0.934546,934.546,,,,,28,28,17,9,4,1.647058824,m,m,DP,BPF,Chert,C,0,R0,0
FL564,T1,15,,,,S,S,S,101.43,100.5,808.0626202,629.7392619,0.93458,934.58,,,,,,,,,,,,,,,,,,,
FL565,T1,15,,,,S,S,S,101.95,99.6,808.0630266,629.7383053,0.934539,934.539,,,,,,,,,,,,,,,,,,,
FL566,T1,15,,,,S,S,S,101.87,99.6,808.0629472,629.738315,0.93454,934.54,,,,,49,49,29,16,25,1.689655172,m,m,DP,BP,Dolomite,SD,1,R1,1
FL573,T1,15,,,,S,S,S,98.41,98.83,808.0594193,629.7379726,0.934499,934.499,,,,,65,65,48,34,152,1.354166667,l,l,DP,Chunk,Silicious dolomite,SD,2,R0,0
FL577,T1,15,,,,S,S,S,100.19,98.88,808.061192,629.7378052,0.934506,934.506,,,,,,,,,,,,,,,,,,,
FL591,T1,15,,,,S,S,S,101.33,97.21,808.0621199,629.7360088,0.934577,934.577,,,,,40,40,31,19,26,1.290322581,m,m,DP,Chunk,Silicious dolomite,SD,1,R1,1
s-13,T1,11,,,,S,S,S,99.16,98.7,808.0601478,629.7377521,0.934916,934.916,335/115,115,,,64,64,50,19,54,1.28,l,l,DP,Chunk,Silicious dolomite,SD,2,R0,0
s-14,T1,11,,,,S,S,S,100.98,98.8,808.0619664,629.7376295,0.934918,934.918,,,32,30,35,35,25,10,8,1.4,m,m,DP,BPF,Brecciated chert,BC,1,R0,0
B55,T1,,,,,B,B,B,99.46,99.37,808.0605273,629.7383806,0.934864,934.864,,,,,,,,,,,,,B,,,,,,
B54,T1,,,,,B,B,B,99.95,100.62,808.061166,629.7395614,0.934868,934.868,,,,,,,,,,,,,B,,,,,,
B54,T1,11,,,,B,B,B,99.55,99.47,808.0606288,629.7384688,0.934818,934.818,,,,,,,,,,,,,B,,,,,,
FL101,T1,11,,,,B,B,B,98.72,100.02,808.059872,629.7391159,0.934841,934.841,,,,,,,,,,,,,B,,,,,,
FL103,T1,11,,,,B,B,B,98.64,100.25,808.0598207,629.7393539,0.93486,934.86,,,,,,,,,,,,,B,,,,,,
FL107,T1,11,,,,B,B,B,98,100.52,808.0592184,629.7396999,0.9349,934.9,92,92,,,,,,,,,,,B,,,,,,
FL113,T1,11,,,,B,B,B,98.13,100.64,808.059362,629.7398032,0.934848,934.848,72,72,,,,,,,,,,,B,,,,,,
FL116,T1,11,,,,B,B,B,98.21,100.35,808.0594061,629.7395056,0.934824,934.824,,,,,,,,,,,,,B,,,,,,
FL119,T1,11,,,,B,B,B,98.11,100.46,808.0593202,629.7396269,0.934825,934.825,,,,,,,,,,,,,B,,,,,,
FL120,T1,12,,,,B,B,B,100.7,100.53,808.0618994,629.7393807,0.934773,934.773,,,,,,,,,,,,,B,,,,,,
FL121,T1,12,,,,B,B,B,100.72,100.54,808.0619204,629.7393882,0.934773,934.773,,,,,,,,,,,,,B,,,,,,
FL122,T1,12,,,,B,B,B,100.4,100.47,808.0615943,629.7393577,0.93478,934.78,,,,,,,,,,,,,B,,,,,,
FL123,T1,12,,,,B,B,B,100.34,100.12,808.0614921,629.7390177,0.934763,934.763,85,85,,,,,,,,,,,B,,,,,,
FL124,T1,12,,,,B,B,B,100.77,100.21,808.0619298,629.7390546,0.934773,934.773,,,,,,,,,,,,,B,,,,,,
FL125,T1,12,,,,B,B,B,100.82,100.23,808.0619819,629.7390683,0.934767,934.767,,,,,,,,,,,,,B,,,,,,
FL126,T1,12,,,,B,B,B,100.88,100.26,808.0620451,629.7390908,0.934776,934.776,135,135,330,35,,,,,,,,,B,,,,,,
FL127,T1,12,,,,B,B,B,100.96,100.03,808.0620965,629.7388528,0.934794,934.794,,,,,,,,,,,,,B,,,,,,
